2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 16:58:49.904,105,19.761190 mV
2024-01-31 16:58:50.572,106,8.851330 mV
2024-01-31 16:58:51.239,107,11.390980 mV
2024-01-31 16:58:51.915,108,22.461000 C
2024-01-31 16:58:52.592,109,8.046680 mV
2024-01-31 16:58:53.259,110,25.637180 mV
2024-01-31 16:58:53.926,111,17.418740 mV
2024-01-31 17:00:47.235,101,13.236620 mV
2024-01-31 17:00:47.903,102,18.497090 mV
2024-01-31 17:00:48.570,103,30.703410 mV
2024-01-31 17:00:49.237,104,-1.648330 mV
2024-01-31 17:00:49.904,105,19.767170 mV
2024-01-31 17:00:50.572,106,8.861110 mV
2024-01-31 17:00:51.239,107,11.397920 mV
2024-01-31 17:00:51.915,108,22.452000 C
2024-01-31 17:00:52.592,109,8.067450 mV
2024-01-31 17:00:53.259,110,25.642960 mV
2024-01-31 17:00:53.926,111,17.424720 mV
2024-01-31 17:02:47.235,101,13.243760 mV
2024-01-31 17:02:47.903,102,18.501080 mV
2024-01-31 17:02:48.570,103,30.706820 mV
2024-01-31 17:02:49.237,104,-1.636690 mV
2024-01-31 17:02:49.904,105,19.773670 mV
2024-01-31 17:02:50.572,106,8.869660 mV
2024-01-31 17:02:51.239,107,11.406410 mV
2024-01-31 17:02:51.914,108,22.445000 C
2024-01-31 17:02:52.592,109,8.080440 mV
2024-01-31 17:02:53.259,110,25.649140 mV
2024-01-31 17:02:53.927,111,17.431860 mV
2024-01-31 17:04:47.235,101,13.252630 mV
2024-01-31 17:04:47.903,102,18.504420 mV
2024-01-31 17:04:48.570,103,30.705470 mV
2024-01-31 17:04:49.237,104,-1.623760 mV
2024-01-31 17:04:49.904,105,19.781640 mV
2024-01-31 17:04:50.572,106,8.886440 mV
2024-01-31 17:04:51.239,107,11.416370 mV
2024-01-31 17:04:51.915,108,22.438000 C
2024-01-31 17:04:52.592,109,8.092590 mV
2024-01-31 17:04:53.259,110,25.657560 mV
2024-01-31 17:04:53.927,111,17.439120 mV
2024-01-31 17:06:47.235,101,13.260220 mV
2024-01-31 17:06:47.903,102,18.513680 mV
2024-01-31 17:06:48.570,103,30.717940 mV
2024-01-31 17:06:49.237,104,-1.610710 mV
2024-01-31 17:06:49.904,105,19.789800 mV
2024-01-31 17:06:50.572,106,8.898780 mV
2024-01-31 17:06:51.239,107,11.427050 mV
2024-01-31 17:06:51.915,108,22.430000 C
2024-01-31 17:06:52.592,109,8.105710 mV
2024-01-31 17:06:53.259,110,25.665720 mV
2024-01-31 17:06:53.927,111,17.447030 mV
2024-01-31 17:08:47.235,101,13.269220 mV
2024-01-31 17:08:47.903,102,18.521720 mV
2024-01-31 17:08:48.570,103,30.720580 mV
2024-01-31 17:08:49.237,104,-1.597980 mV
2024-01-31 17:08:49.904,105,19.798870 mV
2024-01-31 17:08:50.572,106,8.913440 mV
