2024-01-26 16:10:51.035
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
sensor: 'LLR3-3(Sat KCl) vs CRef1', channels: 112
sensor: 'LLR3-6(1M KCl) vs CRef1', channels: 113
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and LL References'
**********
2024-01-26 16:27:01.022,109,10.032300 mV
2024-01-26 16:27:01.689,110,22.508140 mV
2024-01-26 16:27:02.356,111,16.748720 mV
2024-01-26 16:27:03.024,112,-110.595400 mV
2024-01-26 16:27:03.691,113,-74.611260 mV
2024-01-26 16:28:55.665,101,13.360710 mV
2024-01-26 16:28:56.333,102,17.709030 mV
2024-01-26 16:28:57.000,103,27.307680 mV
2024-01-26 16:28:57.667,104,2.103470 mV
2024-01-26 16:28:58.335,105,19.507230 mV
2024-01-26 16:28:59.002,106,12.508550 mV
2024-01-26 16:28:59.669,107,11.459450 mV
2024-01-26 16:29:00.345,108,22.190000 C
2024-01-26 16:29:01.022,109,10.031010 mV
2024-01-26 16:29:01.689,110,22.505830 mV
2024-01-26 16:29:02.357,111,16.746600 mV
2024-01-26 16:29:03.024,112,-94.015120 mV
2024-01-26 16:29:03.691,113,-63.801830 mV
2024-01-26 16:30:55.665,101,13.357690 mV
2024-01-26 16:30:56.333,102,17.706070 mV
2024-01-26 16:30:57.000,103,27.305820 mV
2024-01-26 16:30:57.667,104,2.098840 mV
2024-01-26 16:30:58.335,105,19.503880 mV
2024-01-26 16:30:59.002,106,12.499680 mV
2024-01-26 16:30:59.669,107,11.456430 mV
2024-01-26 16:31:00.345,108,22.193000 C
2024-01-26 16:31:01.022,109,10.029660 mV
2024-01-26 16:31:01.689,110,22.503320 mV
2024-01-26 16:31:02.356,111,16.743000 mV
2024-01-26 16:31:03.024,112,-82.959490 mV
2024-01-26 16:31:03.691,113,-58.181940 mV
2024-01-26 16:32:55.665,101,13.352740 mV
2024-01-26 16:32:56.333,102,17.701770 mV
2024-01-26 16:32:57.000,103,27.302990 mV
2024-01-26 16:32:57.667,104,2.092730 mV
2024-01-26 16:32:58.335,105,19.500160 mV
2024-01-26 16:32:59.002,106,12.494400 mV
2024-01-26 16:32:59.669,107,11.451160 mV
2024-01-26 16:33:00.345,108,22.194000 C
2024-01-26 16:33:01.022,109,10.027030 mV
2024-01-26 16:33:01.689,110,22.499530 mV
2024-01-26 16:33:02.357,111,16.739020 mV
2024-01-26 16:33:03.024,112,-86.715410 mV
2024-01-26 16:33:03.691,113,-63.817390 mV
2024-01-26 16:34:55.665,101,13.348430 mV
2024-01-26 16:34:56.333,102,17.697590 mV
2024-01-26 16:34:57.000,103,27.301190 mV
2024-01-26 16:34:57.667,104,2.086430 mV
2024-01-26 16:34:58.335,105,19.495780 mV
2024-01-26 16:34:59.002,106,12.487200 mV
2024-01-26 16:34:59.669,107,11.446660 mV
